input,fft(real),fft(imaginary),ifft(real),ifft(imaginary)
0.568627,16.3325,-1.42685,0.568627,3.8433e-011
0.568627,14.7916,1.66824,0.568627,4.28089e-010
0.568627,16.2506,-0.513736,0.568627,8.38843e-010
0.568627,15.8946,0.795579,0.568627,1.25582e-009
0.560784,15.3339,0.116673,0.560784,1.66417e-009
0.552941,16.6339,0.216366,0.552941,2.08464e-009
0.537255,15.153,0.758358,0.537255,2.47323e-009
0.529412,16.7,-0.270036,0.529412,2.85589e-009
0.513725,15.5756,1.07879,0.513725,3.22535e-009
0.498039,16.3352,-0.232365,0.498039,3.59214e-009
0.482353,16.3205,0.846168,0.482353,3.98209e-009
0.458824,15.9875,0.0939103,0.458824,4.31935e-009
0.435294,16.577,0.405743,0.435294,4.59732e-009
0.411765,16.228,0.682619,0.411765,4.87936e-009
0.388235,16.5186,-0.0770762,0.388235,5.16017e-009
0.364706,16.6647,0.87147,0.364706,5.44231e-009
0.333333,16.2671,-0.06761,0.333333,5.69296e-009
0.301961,17.0305,0.68246,0.301961,5.90846e-009
0.270588,16.3763,0.297874,0.270588,6.09103e-009
0.239216,16.9813,0.138841,0.239216,6.23723e-009
0.207843,16.6584,0.867491,0.207843,6.38129e-009
0.176471,17.0404,-0.159673,0.176471,6.52931e-009
0.137255,16.887,0.732916,0.137255,6.62559e-009
0.105882,16.8479,0.224593,0.105882,6.69981e-009
0.0666667,17.3985,0.488782,0.0666667,6.72701e-009
0.0352941,16.8542,0.223872,0.0352941,6.74134e-009
-0.00392157,17.2303,0.550322,-0.00392157,6.7324e-009
-0.0352941,17.3608,0.305915,-0.0352941,6.70832e-009
-0.0745098,17.1381,0.673895,-0.0745098,6.64678e-009
-0.105882,17.7795,0.00774858,-0.105882,6.55192e-009
-0.145098,16.9717,0.956443,-0.145098,6.45694e-009
-0.176471,18.1973,0.0194684,-0.176471,6.31136e-009
-0.207843,17.2424,0.577714,-0.207843,6.17454e-009
-0.247059,17.7662,0.329345,-0.247059,6.00593e-009
-0.278431,17.9515,0.530924,-0.278431,5.77012e-009
-0.309804,17.6538,0.284738,-0.309804,5.51461e-009
-0.333333,18.0223,0.518562,-0.333333,5.27296e-009
-0.364706,18.0875,0.403785,-0.364706,5.01829e-009
-0.388235,17.7968,0.34136,-0.388235,4.74101e-009
-0.419608,18.4878,0.6721,-0.419608,4.42266e-009
